pos	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T	A	C	G	T
22	0	0	0	201	0	0	0	223	0	0	0	222	0	0	0	205	0	0	0	234	0	1	0	159	0	0	0	178	0	0	0	284	1	1	0	233	0	0	0	222	0	0	0	289	0	0	0	135	0	0	0	148	0	2	0	175
23	202	0	0	0	226	0	0	0	225	0	0	0	210	0	0	0	241	0	0	0	161	0	0	1	185	0	0	0	288	0	0	0	240	1	0	0	224	0	0	1	296	0	0	0	137	0	0	0	154	0	0	0	180	0	0	3
24	202	0	0	0	224	0	0	0	228	0	0	0	210	0	0	0	241	0	0	0	163	0	0	0	184	0	1	0	287	0	0	0	243	0	0	0	228	1	0	0	296	0	0	0	137	0	0	0	158	0	0	0	187	1	0	0
25	1	204	0	0	0	227	0	0	0	234	0	0	1	208	1	1	0	247	0	0	0	166	0	0	0	188	0	0	0	293	0	0	1	245	0	0	0	232	0	0	0	303	0	0	0	141	0	0	1	160	0	0	1	190	0	1
26	0	0	206	0	0	0	223	0	0	0	232	0	0	0	209	1	1	0	244	0	1	0	164	1	0	0	186	1	0	0	294	0	0	0	243	0	2	0	228	0	0	0	305	0	0	0	141	0	0	0	165	0	0	0	193	0
27	206	0	0	0	223	0	0	0	230	1	0	1	208	0	0	1	245	0	0	0	167	0	0	0	188	0	0	0	294	0	0	0	241	0	0	0	230	0	0	0	302	0	1	0	139	0	0	0	163	1	1	0	195	0	0	0
28	209	0	0	0	223	0	1	0	233	0	0	0	213	0	0	0	246	0	0	0	168	0	1	0	191	0	0	0	296	0	0	0	246	0	0	0	231	0	0	0	304	0	0	0	139	0	0	0	166	0	0	0	193	0	1	0
29	0	0	209	0	0	0	223	0	0	0	237	0	0	0	216	0	0	0	249	0	0	0	169	0	0	0	193	0	0	0	299	1	0	0	243	0	0	0	227	1	0	0	302	0	0	0	142	0	0	0	165	1	0	0	193	1
30	2	0	0	208	0	0	1	221	1	0	2	232	2	0	0	214	3	0	0	246	0	0	0	169	0	0	1	192	2	0	1	296	0	0	1	242	0	1	0	226	1	0	0	298	0	0	0	141	0	0	0	167	2	1	0	191
31	0	202	0	0	0	207	0	0	0	217	0	0	1	205	1	0	1	249	0	0	0	163	0	0	0	183	0	1	0	286	0	1	1	228	0	0	0	217	0	0	0	282	1	1	0	144	0	0	0	167	1	0	0	195	0	0
32	0	0	200	0	0	0	209	0	1	0	214	0	1	0	206	0	1	0	254	0	0	0	163	0	0	0	185	0	0	0	288	0	0	0	229	0	0	0	217	0	0	0	279	0	0	0	142	0	0	1	162	0	0	0	180	0
33	201	0	0	0	209	0	0	0	213	0	1	0	207	0	0	0	255	0	0	0	164	0	0	0	184	0	0	0	287	0	0	0	228	0	0	0	215	2	0	0	276	0	1	0	143	0	0	0	163	0	0	0	180	0	0	0
34	0	0	0	202	0	0	0	210	0	0	0	219	1	0	0	210	0	1	0	254	0	0	0	164	1	0	0	187	0	0	0	288	0	0	0	228	0	0	0	218	0	0	0	279	0	1	0	144	0	0	0	164	0	0	2	178
35	0	0	204	0	0	0	210	0	0	1	219	0	0	0	209	0	0	0	254	1	0	0	163	0	0	0	187	1	0	0	288	0	0	0	230	0	0	0	217	1	0	0	279	0	0	0	145	0	0	0	162	1	0	0	182	0
36	0	0	190	0	1	0	193	0	0	0	207	0	0	0	197	1	0	0	243	0	0	0	154	0	1	0	177	0	1	0	268	0	0	1	216	0	1	0	202	1	0	0	254	0	0	0	145	0	1	0	161	1	0	0	182	0
37	1	194	0	0	0	196	0	0	0	211	0	0	0	203	0	0	0	242	0	0	1	155	0	0	0	179	0	1	0	270	0	0	0	216	1	0	1	206	0	0	2	253	0	0	0	148	0	0	0	168	0	0	0	183	0	3
38	0	0	194	1	0	0	203	0	0	0	213	0	0	1	203	0	0	0	239	0	1	0	153	1	0	0	179	1	0	0	271	0	0	0	222	0	1	0	206	0	0	0	256	0	0	0	157	0	0	1	172	2	0	1	191	1
39	0	196	0	0	0	206	0	0	0	223	0	0	0	205	0	0	0	242	1	0	0	158	0	0	0	183	0	0	0	282	0	0	0	225	0	1	0	212	0	0	0	266	0	0	0	162	0	0	2	178	0	1	0	199	0	0
40	0	0	0	193	0	0	0	206	0	0	0	223	0	0	0	203	0	1	0	235	0	0	0	155	0	0	0	182	0	0	0	277	0	0	0	226	0	0	0	212	0	0	0	264	0	0	0	162	0	2	1	178	0	0	0	199
41	193	0	0	0	204	0	0	0	221	0	0	0	201	0	0	0	231	0	0	0	154	0	0	0	179	0	0	0	266	0	0	0	224	0	0	0	209	0	0	0	261	0	0	0	162	0	0	0	177	0	2	2	198	0	0	0
42	1	0	189	0	0	0	208	1	0	0	224	0	0	0	201	0	0	0	225	0	0	0	150	0	0	1	178	0	0	0	264	0	0	0	224	0	0	0	211	1	0	0	262	0	0	0	163	0	2	0	183	0	0	1	201	0
43	0	177	0	0	0	201	0	0	0	214	2	0	1	179	0	0	0	202	0	0	0	142	0	0	0	170	0	0	2	237	0	1	1	223	1	0	0	210	1	0	1	250	1	0	0	166	0	0	0	193	0	2	1	206	1	0
44	0	179	0	0	0	203	0	0	0	220	0	0	1	181	0	0	1	201	0	0	0	144	0	0	1	166	0	0	0	237	0	0	0	226	1	0	0	209	1	1	0	253	0	0	0	165	0	0	0	195	0	0	0	208	1	0
45	0	180	0	0	0	203	0	0	1	220	0	1	1	182	0	0	0	203	0	0	0	145	0	0	0	168	0	0	0	238	0	0	0	227	0	0	0	209	0	2	0	254	1	0	0	166	0	0	0	202	0	3	0	212	0	0
46	0	0	0	181	0	0	0	205	0	0	0	223	0	0	0	186	0	0	1	202	0	0	0	144	0	0	0	168	0	0	0	241	0	0	0	227	0	1	0	209	0	0	0	256	0	0	0	166	0	0	1	208	0	0	0	213
47	1	0	180	0	0	0	205	0	0	0	224	0	0	0	187	0	0	0	205	0	0	0	145	0	0	0	167	0	0	0	241	0	0	0	227	0	0	0	210	0	0	0	256	0	0	0	166	0	0	0	212	0	0	0	211	2
48	0	0	184	0	0	0	209	0	0	0	229	0	0	0	188	0	0	0	210	0	1	0	149	0	0	1	170	0	0	0	246	0	1	0	231	0	0	0	213	1	0	0	263	0	0	0	172	0	0	0	217	0	0	0	221	1
49	0	181	0	0	0	210	0	0	0	231	0	0	1	188	0	0	0	213	0	0	0	153	0	0	0	169	0	0	0	249	0	0	0	235	0	0	0	208	1	0	0	260	0	0	0	179	1	0	1	225	0	1	0	229	0	0
50	190	0	0	0	220	0	0	1	241	0	0	0	197	0	0	0	223	0	0	0	160	0	0	0	171	0	0	0	260	0	0	0	246	0	0	0	225	0	0	0	268	0	0	0	186	0	0	0	231	0	0	0	242	0	0	0
51	191	0	0	0	221	0	0	0	239	0	0	0	199	0	0	0	223	0	0	0	159	0	0	0	172	0	0	0	260	0	0	0	242	0	1	0	225	0	0	0	269	0	0	0	187	0	0	0	232	0	0	0	244	0	0	0
52	191	0	0	0	221	0	0	0	239	0	0	0	199	0	0	0	223	0	0	0	159	0	0	0	172	0	0	1	259	0	0	0	243	0	0	0	225	0	0	0	270	0	0	0	187	0	0	0	235	1	0	0	246	0	0	0
53	191	0	0	0	221	0	0	0	237	0	0	1	199	0	0	0	221	0	1	0	159	0	0	0	170	0	0	1	257	0	0	0	242	0	0	0	222	0	0	0	271	0	0	0	192	0	0	0	238	0	1	1	249	0	0	0
54	0	0	0	193	1	0	0	218	0	0	0	235	1	0	0	198	0	0	0	227	0	0	0	159	0	0	0	173	0	0	0	262	0	0	0	241	1	1	0	218	0	0	0	270	0	0	0	195	0	0	0	244	1	0	1	252
55	198	0	0	0	217	0	0	1	240	0	0	0	192	0	0	1	229	0	0	0	159	0	0	0	174	0	0	0	266	0	0	0	244	0	0	0	217	1	1	0	275	0	1	0	199	0	0	0	245	0	0	0	260	0	0	0
56	0	0	0	196	0	0	0	217	0	0	0	239	0	1	0	192	0	0	0	228	0	0	0	157	0	0	0	171	0	0	0	266	0	0	0	242	1	0	0	216	0	0	0	276	0	0	1	200	0	0	0	246	0	0	1	257
57	0	0	0	195	0	0	0	216	0	0	0	240	0	1	0	191	0	0	0	230	0	0	0	159	0	0	0	170	0	0	0	267	0	0	0	240	0	0	0	215	0	0	0	278	0	0	1	202	0	0	0	245	0	0	0	259
58	1	194	0	0	0	215	0	0	0	240	0	0	1	191	0	0	1	227	1	0	0	161	0	0	1	169	0	0	1	267	0	0	0	237	1	2	0	212	0	0	0	276	0	0	0	203	0	0	0	246	0	0	1	257	1	0
59	195	0	0	1	216	0	0	0	240	0	0	0	192	0	0	0	229	0	0	0	161	0	0	0	170	0	0	0	268	0	1	0	243	0	0	0	210	0	1	0	277	0	0	0	201	1	0	0	247	0	0	2	262	0	0	0
60	0	0	0	196	0	0	0	215	0	0	0	240	0	1	0	191	0	0	0	229	0	0	0	162	0	0	0	172	0	0	0	269	0	0	0	244	1	0	0	209	0	0	0	277	0	0	0	207	0	2	0	246	0	0	2	262
61	0	202	0	1	0	217	0	0	0	251	0	0	0	192	0	0	0	234	0	0	0	167	0	0	0	176	0	0	0	280	1	0	1	244	0	0	0	211	0	0	0	287	0	0	0	225	0	0	0	260	0	2	0	273	0	0
62	0	1	198	0	0	0	217	0	0	0	249	0	0	0	195	0	0	0	237	0	0	0	173	0	0	0	180	0	0	0	284	0	0	0	245	0	0	1	206	0	0	0	292	0	0	0	227	0	0	0	267	0	0	0	269	0
63	0	0	198	0	0	0	213	0	1	0	247	0	0	0	194	0	0	2	235	0	0	0	166	0	0	0	177	1	0	0	280	0	0	0	240	0	1	0	205	0	0	0	287	0	0	0	225	0	0	0	267	0	0	0	271	0
64	195	0	1	0	214	0	0	0	248	0	1	0	193	0	1	0	237	0	0	0	164	0	1	1	173	0	1	0	278	0	1	1	239	0	1	0	204	0	0	1	288	0	1	0	226	0	0	0	266	2	1	0	271	1	1	0
65	0	0	198	0	0	0	215	0	0	0	250	0	1	0	194	0	0	0	239	0	0	0	167	0	0	0	176	0	0	0	281	1	0	0	242	0	0	0	205	0	0	0	288	0	0	0	229	0	0	0	270	0	0	0	273	0
66	0	0	204	0	0	0	216	0	0	0	253	0	0	0	197	0	0	0	247	0	0	0	172	0	0	0	179	0	0	0	287	0	0	0	242	0	0	0	207	0	0	0	291	0	1	0	231	0	1	0	269	1	0	0	272	0
67	0	0	2	204	1	0	1	212	2	0	0	252	0	0	3	193	1	0	1	245	1	1	1	168	2	0	0	178	0	1	1	286	1	0	0	242	2	2	1	201	0	0	2	288	0	0	0	235	0	0	3	268	1	1	0	273
68	0	0	0	202	0	0	0	211	0	0	0	254	0	0	0	197	1	0	0	245	0	0	0	171	0	1	0	179	0	1	0	283	0	0	0	244	0	0	0	204	0	0	0	285	0	0	0	237	0	0	0	270	1	0	0	273
69	0	0	0	203	0	0	0	210	1	0	1	248	1	0	0	196	0	0	0	242	0	0	0	169	0	0	0	178	0	0	0	281	0	0	0	243	0	0	0	202	0	1	0	284	0	0	0	235	0	0	0	270	1	0	0	270
70	202	0	0	0	209	1	0	0	249	0	1	0	198	0	0	0	242	0	0	0	169	0	0	0	178	0	0	0	280	1	0	0	241	1	1	0	201	0	1	0	286	0	0	0	236	0	0	0	269	0	0	3	273	0	0	0
71	0	1	201	0	0	0	211	0	0	1	251	0	0	0	201	0	0	1	245	0	0	0	168	1	0	0	179	0	0	0	282	0	0	0	246	0	0	0	204	0	0	0	289	0	0	0	238	0	1	1	274	0	1	1	280	0
72	1	202	0	0	0	211	0	0	0	254	1	0	0	201	0	1	0	242	0	0	0	172	0	0	0	180	0	1	3	281	0	1	0	250	0	0	1	200	1	0	1	289	0	0	0	260	0	0	1	296	3	4	0	308	1	2
73	1	216	0	0	0	230	0	0	0	273	0	1	0	214	0	0	1	260	0	0	0	179	0	0	0	199	0	0	1	307	0	0	0	276	0	0	0	212	0	2	0	319	0	0	0	264	0	0	2	302	1	4	1	322	1	1
74	218	0	0	0	232	0	0	0	274	0	1	0	215	0	0	0	261	0	0	0	180	0	0	0	200	0	0	0	310	0	0	0	276	0	0	0	216	0	0	0	319	0	0	0	272	0	0	0	311	1	0	3	333	0	1	0
75	215	0	1	0	231	0	0	0	276	0	0	0	213	0	0	0	261	0	0	0	183	0	0	0	201	0	0	0	311	0	0	0	275	0	2	0	215	0	0	0	320	0	0	0	274	0	0	0	327	0	0	1	335	0	1	2
76	1	1	214	0	0	0	232	0	1	0	274	0	1	0	214	0	1	1	263	0	0	0	187	0	0	0	204	0	1	0	312	0	1	0	281	0	0	0	217	0	0	0	327	0	1	0	279	0	1	0	340	1	1	0	349	0
77	1	0	215	0	1	0	231	0	0	0	271	0	0	0	215	0	1	1	266	0	1	0	187	0	0	0	203	0	0	0	306	0	1	0	282	0	0	0	215	0	0	0	326	0	0	0	282	0	0	0	344	1	3	0	349	0
78	214	0	0	0	228	0	0	0	269	0	1	0	215	0	0	0	267	1	0	0	186	0	0	1	206	0	0	0	304	0	0	0	280	1	0	0	216	0	0	0	327	0	0	0	281	0	0	0	346	0	0	0	352	0	0	0
79	217	1	0	0	225	0	0	0	266	0	0	0	217	0	0	0	267	0	0	0	188	0	0	0	206	0	1	0	305	0	0	0	280	0	0	0	213	1	0	0	325	0	0	0	284	0	0	0	346	0	0	0	351	1	0	1
80	217	0	0	0	225	0	0	0	264	0	0	0	220	0	0	0	268	0	0	0	191	0	0	0	208	1	0	0	311	0	0	0	278	1	0	0	213	0	0	1	324	0	0	0	282	0	0	2	345	2	0	0	352	0	0	0
81	0	222	1	0	0	229	0	1	0	268	0	0	0	223	0	0	0	275	0	0	0	194	0	0	1	214	0	0	0	315	1	0	0	281	0	0	3	210	0	0	1	325	0	0	0	286	0	0	1	346	0	0	4	351	0	0
82	227	0	0	0	228	0	0	0	268	0	0	0	223	0	0	0	275	0	0	0	195	0	0	0	215	0	0	0	316	0	0	0	281	0	0	0	214	0	0	0	328	0	0	0	287	0	0	0	348	1	0	1	355	0	0	0
83	0	0	0	230	1	0	0	225	0	0	0	266	0	0	0	224	0	1	0	274	0	0	0	195	0	0	0	216	0	0	0	321	0	0	0	280	0	0	0	215	0	0	0	330	0	0	0	287	1	0	0	349	1	1	0	353
84	0	229	1	0	0	223	0	0	0	266	0	0	1	221	1	0	1	273	0	0	0	194	0	0	1	214	0	0	0	321	0	0	0	278	0	1	0	215	0	1	0	330	0	0	0	287	0	0	0	351	0	1	0	354	0	0
85	218	0	0	2	210	0	0	1	251	0	0	0	206	0	1	0	265	0	0	0	186	0	0	0	202	0	1	0	308	0	0	0	262	1	0	1	196	1	1	1	315	0	0	0	293	0	0	0	360	0	0	0	357	1	0	2
86	0	0	0	218	1	0	0	213	0	0	0	251	0	0	0	211	0	0	0	266	0	0	0	187	0	0	0	204	0	0	0	311	0	0	0	265	0	0	0	201	0	0	0	317	0	0	0	288	0	0	0	360	0	0	0	362
87	0	0	0	213	0	0	0	213	0	0	0	249	0	0	0	210	0	0	0	265	0	0	0	186	0	0	0	201	0	0	0	309	0	0	0	266	0	0	0	198	0	0	0	313	0	0	0	294	1	0	0	372	0	1	0	363
88	216	0	0	0	216	0	0	0	248	0	1	0	212	0	0	0	270	0	0	1	186	0	0	0	201	0	0	0	312	0	0	0	267	0	0	0	198	0	0	0	316	0	0	0	294	0	0	0	371	2	0	0	362	1	1	0
89	1	0	215	0	0	0	216	0	0	0	250	0	0	0	213	0	0	0	273	0	0	0	186	0	0	0	201	0	0	0	310	0	0	0	265	0	0	0	199	0	0	0	315	0	0	0	294	0	1	0	372	0	1	0	364	0
90	216	0	0	0	217	0	0	0	252	0	0	0	213	0	0	0	271	1	0	0	185	0	0	0	201	0	0	0	308	1	0	0	265	0	0	1	197	1	0	0	315	0	0	0	292	0	0	0	369	0	2	0	364	0	1	0
91	1	0	0	211	0	1	0	214	0	0	1	251	0	0	0	213	2	0	0	270	0	1	0	183	0	0	0	199	0	0	0	307	0	0	0	266	0	0	0	198	0	0	0	317	0	0	0	295	0	0	1	372	1	1	1	363
92	0	0	206	2	0	0	216	0	0	0	255	0	0	0	215	0	0	0	274	0	0	0	182	0	0	0	195	0	0	0	305	0	0	0	265	0	0	0	199	0	0	0	317	0	0	0	296	0	0	0	374	2	0	1	366	1
93	0	0	0	210	0	0	0	221	0	0	0	255	0	0	0	216	3	0	0	274	0	0	0	185	0	0	0	197	0	0	1	308	1	0	0	266	0	0	1	199	0	0	0	319	0	0	0	300	1	2	2	374	2	0	1	363
94	212	0	0	0	231	0	0	0	254	0	0	1	218	0	1	0	276	0	1	0	187	0	0	0	201	0	0	0	314	0	0	0	269	0	0	0	203	0	0	0	324	0	0	0	304	1	0	0	381	1	0	0	371	0	0	0
95	0	0	0	212	0	0	0	234	1	0	0	256	0	0	0	219	1	0	0	277	0	0	0	188	0	0	0	201	0	0	0	316	0	0	0	272	0	0	0	208	0	0	0	326	0	0	0	307	0	0	0	388	0	0	0	373
96	0	0	0	213	1	0	0	237	0	0	1	259	0	0	0	219	0	0	0	278	0	0	0	189	0	0	1	202	0	0	0	318	0	0	0	277	0	0	0	207	0	0	0	333	0	0	0	312	0	1	0	389	1	0	0	376
97	0	0	0	218	0	0	0	243	0	0	0	262	0	0	0	223	0	0	0	278	0	0	0	189	0	0	0	202	0	0	0	323	0	1	0	279	0	0	0	208	0	0	0	335	0	0	0	314	0	0	0	398	0	1	1	382
98	220	0	0	0	243	0	1	0	266	0	0	0	226	0	1	0	279	0	0	0	189	0	0	0	205	0	0	0	323	0	0	0	283	0	0	0	209	1	0	1	338	0	0	0	319	0	0	0	400	1	0	0	384	0	0	3
99	0	221	0	0	0	248	0	0	0	272	0	0	0	232	0	0	0	279	0	0	0	190	0	0	0	205	0	0	0	324	0	0	0	285	0	1	1	215	0	0	1	342	0	0	1	321	1	0	1	405	0	0	0	389	0	0
100	1	224	1	0	0	251	0	0	0	276	0	0	0	235	0	0	0	283	0	0	0	193	0	0	1	208	0	0	0	333	0	0	0	296	0	1	0	219	0	0	0	351	0	1	0	319	0	0	0	408	0	1	0	388	0	0
101	226	0	0	0	252	0	0	0	275	0	0	0	236	0	0	0	281	1	0	1	192	0	0	0	211	0	0	0	332	0	0	0	295	0	0	0	218	0	0	0	350	0	0	0	317	0	0	0	407	1	0	0	380	0	0	1
102	228	1	0	0	248	0	0	0	272	0	0	0	236	0	0	0	279	0	0	0	190	0	1	0	208	0	1	0	330	0	0	1	290	0	0	0	216	0	0	0	347	0	0	0	317	0	0	0	405	0	3	0	379	1	3	0
103	0	0	230	0	0	0	248	1	0	0	274	0	0	0	241	0	0	0	280	0	0	0	192	0	0	0	211	0	0	0	334	0	0	0	291	0	0	0	216	0	0	0	348	0	0	0	314	0	0	0	403	0	2	0	379	0
104	0	0	1	228	0	0	0	250	1	1	0	270	0	0	0	240	0	0	0	279	1	0	1	190	0	0	1	210	1	0	0	333	0	0	0	292	1	1	0	214	0	1	0	345	1	0	1	311	2	1	2	400	3	1	1	375
105	241	0	0	0	251	0	0	1	277	0	0	0	242	0	0	0	282	0	0	0	194	0	0	0	218	0	0	0	345	0	0	0	292	0	0	0	216	0	1	0	353	0	0	0	314	0	0	0	404	0	2	0	390	2	3	0
106	0	0	0	239	0	0	0	249	0	0	0	268	0	0	0	235	0	0	0	274	0	0	0	190	0	0	0	217	0	0	0	341	0	0	0	287	0	0	0	211	0	0	0	343	0	0	1	308	0	0	0	406	2	0	0	389
107	1	0	0	245	0	0	0	253	1	1	0	267	0	0	0	239	0	0	0	277	0	1	0	192	0	0	0	222	0	0	0	346	1	0	0	287	0	0	0	215	0	0	0	342	0	0	1	309	0	0	1	400	0	0	1	385
108	0	0	0	245	0	0	0	251	0	0	0	272	0	0	0	238	0	1	0	274	0	0	0	190	0	0	0	224	1	0	0	345	2	0	0	283	0	0	0	215	0	0	0	337	1	0	0	309	0	0	0	400	0	1	0	382
109	0	0	0	247	0	0	0	252	0	0	0	273	0	0	0	242	0	0	0	276	0	0	0	190	0	0	0	226	0	0	0	348	1	0	0	287	0	0	0	217	0	0	0	337	0	0	0	307	0	0	0	399	1	0	0	381
110	0	0	246	0	0	0	252	0	0	0	273	0	0	0	247	0	0	0	273	0	0	0	191	0	0	0	229	0	0	0	351	0	0	0	289	0	0	0	218	0	0	0	335	0	0	0	307	0	0	1	393	2	0	0	379	0
111	0	0	246	1	1	0	249	0	0	3	270	0	1	0	245	0	1	1	270	1	0	0	192	0	0	0	226	0	0	0	351	0	0	0	288	0	0	0	217	0	0	0	332	0	0	0	303	1	0	0	392	0	1	2	375	1
112	0	245	0	1	1	250	0	0	0	275	0	0	0	249	0	0	0	275	0	1	0	194	0	0	0	226	0	0	1	350	0	1	0	289	0	0	0	220	0	0	0	334	0	0	1	314	0	0	0	398	1	0	1	385	1	2
113	252	0	0	0	254	0	0	0	291	0	1	0	256	0	0	0	284	0	0	0	199	0	1	0	235	0	1	0	361	0	0	1	299	0	0	0	221	0	0	0	336	0	0	0	313	0	1	0	398	0	1	0	387	1	1	0
114	250	1	0	0	253	0	0	0	289	1	1	0	254	0	0	0	280	1	0	0	201	0	0	0	234	0	0	0	358	1	1	0	295	1	1	0	218	0	0	0	333	0	0	0	316	0	0	0	393	1	0	0	383	0	2	0
115	0	0	238	0	0	0	235	0	0	0	270	0	0	0	229	0	0	0	261	1	0	0	185	0	0	0	222	0	0	0	328	0	0	0	279	0	0	0	203	0	0	0	317	0	1	0	315	0	0	0	395	0	1	0	387	0
116	0	0	1	235	0	0	0	236	0	0	0	271	0	0	1	226	1	0	1	263	0	0	2	181	1	0	0	221	1	0	0	324	1	1	0	279	1	0	0	202	0	1	0	316	1	0	1	289	0	1	0	367	4	1	3	361
117	235	0	0	0	235	0	0	1	271	0	0	0	226	0	0	0	267	0	0	0	183	0	0	0	222	0	0	0	326	0	0	0	282	0	0	0	203	0	0	0	319	0	0	0	290	1	0	0	365	0	0	1	365	1	1	2
118	0	0	0	233	0	0	0	236	0	4	0	265	0	0	0	225	0	1	0	265	0	0	0	181	0	1	0	220	0	0	0	326	0	1	0	279	1	1	0	199	0	1	1	316	0	2	0	290	0	0	1	368	0	1	0	369
119	1	0	232	0	0	0	236	0	0	0	267	0	0	0	223	0	0	0	265	0	0	0	178	1	0	0	219	1	0	0	324	0	0	0	278	0	0	0	201	0	0	0	314	0	0	1	283	0	0	0	362	1	0	0	364	1
